Designator,Footprint,Quantity,Value,LCSC Part #
AE2,ANT_1575AT_JOT,1,1575AT43A0040,C239243
C1,0603,1,12pF,
C10,0603,1,22uF,
"C11, C12, C14, C27, C28, C4, C44, C45, C46, C47, C48, C7, C9",0603,13,100nF,
"C13, C8",0603,2,1uF,
C2,0603,1,8.2pF,
C29,0402,1,1.5pF,C1525
C3,0603,1,9.1pF,
"C32, C33",0603,2,15pF,
"C36, C37",0603,2,14pF,
C43,0603,1,10uF,
C5,0603,1,4.7uF,
C6,0603,1,120pF,
"D1, D2, D3",0805,3,LED,
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Counter_Clockwise,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J4,SMA_Amphenol_901-144_Vertical,1,Conn_Coaxial,
L1,0603,1,270nH,
L2,0603,1,11nH,
"L3, L5",0603,2,24nH,
L4,0603,1,39nH,
L6,IND-SMD_L3.3-W3.0,1,4.7uH,
"L8, L9",0402,2,3.9 nH,C307609
R1,0603,1,50R,
"R10, R11, R12",0603,3,1k,
"R13, R14, R18, R2, R5, R6, R9",0603,7,10k,
R3,0603,1,976k,
R4,0603,1,562k,
SW4,SMD_SW_NEW_REDONE,1,SW_Push,
U1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U2,QFN50P400X400X90-21N,1,SI4432-B1-FMR,
U3,SOT-23-6,1,MCP1640x-xCHY,
U4,GPSM-SMD_ATGM336H-TR,1,ATGM336H-5N31,C90770
U7,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz 12.5pF,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz 12pF,
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,30MHz 10pF,
